ucla,UCLA
ucberkeleyofficial,UCBerkeley
uva,UVA
uofmichigan,UMich
ucsantabarbara,ucsantabarbara
uncchapelhill,UNC
ucirvine,UCIrvine
georgiatech,GeorgiaTech
uflorida,UF
william_and_mary,williamandmary
ucdavis,ucdavis
ucsandiego,ucsandiego
universityofga,universityofga
illinois1867,Illinois_Alma
utaustintx,UTAustin
theohiostateuniversity,OhioState
rutgersu,RutgersU
pennstate,penn_state
uofwa,UW
